"PSComputerName","Name","ProcessID","ParentProcessID","Path","WorkingSetSize","Handle","HandleCount","ThreadCount","CreationDate"
"2012DATA-DC1","System Idle Process","0","0",,"20480","0","0","1",
"2012DATA-DC1","System","4","0",,"212992","4","683","387","20181130164614.709476-480"
"2012DATA-DC1","smss.exe","452","4",,"638976","452","50","3","20181130164614.725492-480"
"2012DATA-DC1","csrss.exe","552","536","C:\Windows\system32\csrss.exe","3973120","552","342","9","20181130164624.912238-480"
"2012DATA-DC1","csrss.exe","620","612","C:\Windows\system32\csrss.exe","21041152","620","188","10","20181130164625.786198-480"
"2012DATA-DC1","wininit.exe","628","536","C:\Windows\system32\wininit.exe","3514368","628","79","2","20181130164625.786198-480"
"2012DATA-DC1","winlogon.exe","656","612","C:\Windows\system32\winlogon.exe","4149248","656","150","3","20181130164626.005260-480"
"2012DATA-DC1","services.exe","716","628","C:\Windows\system32\services.exe","7643136","716","295","10","20181130164626.877825-480"
"2012DATA-DC1","lsass.exe","724","628",,"29839360","724","1471","28","20181130164627.003545-480"
"2012DATA-DC1","svchost.exe","888","716","C:\Windows\system32\svchost.exe","7045120","888","343","10","20181130164633.710988-480"
"2012DATA-DC1","vmacthlp.exe","928","716","C:\Program Files\VMware\VMware Tools\vmacthlp.exe","2338816","928","61","2","20181130164634.178293-480"
"2012DATA-DC1","svchost.exe","952","716","C:\Windows\system32\svchost.exe","6111232","952","348","9","20181130164634.615095-480"
"2012DATA-DC1","dwm.exe","516","656","C:\Windows\system32\dwm.exe","41820160","516","192","7","20181130164635.163140-480"
"2012DATA-DC1","svchost.exe","476","716","C:\Windows\System32\svchost.exe","17612800","476","423","14","20181130164635.223629-480"
"2012DATA-DC1","svchost.exe","800","716","C:\Windows\system32\svchost.exe","66482176","800","3542","43","20181130164636.097098-480"
"2012DATA-DC1","svchost.exe","1096","716","C:\Windows\system32\svchost.exe","17080320","1096","886","23","20181130164638.842787-480"
"2012DATA-DC1","svchost.exe","1164","716","C:\Windows\system32\svchost.exe","17256448","1164","523","18","20181130164639.451825-480"
"2012DATA-DC1","svchost.exe","1280","716","C:\Windows\system32\svchost.exe","11091968","1280","352","17","20181130164640.278093-480"
"2012DATA-DC1","spoolsv.exe","1568","716","C:\Windows\System32\spoolsv.exe","18591744","1568","435","15","20181130164658.795556-480"
"2012DATA-DC1","Microsoft.ActiveDirectory.WebServices.exe","1596","716","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","50831360","1596","677","12","20181130164659.154181-480"
"2012DATA-DC1","dfsrs.exe","1632","716","C:\Windows\system32\DFSRs.exe","17334272","1632","251","11","20181130164704.023128-480"
"2012DATA-DC1","dns.exe","1664","716","C:\Windows\system32\dns.exe","20856832","1664","5230","14","20181130164704.520862-480"
"2012DATA-DC1","esensor.exe","1704","716",,"144154624","1704","760","39","20181130164705.768711-480"
"2012DATA-DC1","ismserv.exe","1792","716","C:\Windows\System32\ismserv.exe","4448256","1792","94","7","20181130164707.391303-480"
"2012DATA-DC1","VGAuthService.exe","1844","716","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","10399744","1844","112","3","20181130164708.015296-480"
"2012DATA-DC1","vmtoolsd.exe","1904","716","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","20525056","1904","328","9","20181130164709.044894-480"
"2012DATA-DC1","dfssvc.exe","1932","716","C:\Windows\system32\dfssvc.exe","6057984","1932","126","12","20181130164711.464394-480"
"2012DATA-DC1","vds.exe","1868","716","C:\Windows\System32\vds.exe","8204288","1868","154","12","20181130164717.203548-480"
"2012DATA-DC1","svchost.exe","2104","716","C:\Windows\System32\svchost.exe","9523200","2104","415","23","20181130164719.668432-480"
"2012DATA-DC1","svchost.exe","2168","716","C:\Windows\system32\svchost.exe","4505600","2168","108","4","20181130164722.304844-480"
"2012DATA-DC1","svchost.exe","2212","716","C:\Windows\system32\svchost.exe","12951552","2212","243","9","20181130164723.256474-480"
"2012DATA-DC1","dllhost.exe","2424","716","C:\Windows\system32\dllhost.exe","10514432","2424","194","11","20181130164727.928546-480"
"2012DATA-DC1","WmiPrvSE.exe","2584","888","C:\Windows\system32\wbem\wmiprvse.exe","26849280","2584","271","12","20181130164729.075555-480"
"2012DATA-DC1","msdtc.exe","2188","716","C:\Windows\System32\msdtc.exe","7188480","2188","147","10","20181130164753.583858-480"
"2012DATA-DC1","taskhostex.exe","2540","716","C:\Windows\system32\taskhostex.exe","7577600","2540","185","7","20181130164956.091344-480"
"2012DATA-DC1","explorer.exe","3092","3228","C:\Windows\Explorer.EXE","63426560","3092","1042","38","20181130165004.251623-480"
"2012DATA-DC1","ManagementAgentHost.exe","3208","716","C:\Program Files\VMware\VMware Tools\VMware CAF\pme\bin\ManagementAgentHost.exe","11161600","3208","121","9","20181130165046.872361-480"
"2012DATA-DC1","vmtoolsd.exe","3108","3092","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","17829888","3108","220","8","20181130165049.898383-480"
"2012DATA-DC1","ServerManager.exe","6012","3092","C:\Windows\system32\ServerManager.exe","129884160","6012","434","11","20181207175710.752442-480"
"2012DATA-DC1","mmc.exe","212","6012","C:\Windows\system32\mmc.exe","10686464","212","246","5","20181207175738.713451-480"
"2012DATA-DC1","WmiPrvSE.exe","5480","888","C:\Windows\system32\wbem\wmiprvse.exe","27574272","5480","327","11","20181208125143.981826-480"
"2012DATA-DC1","WmiPrvSE.exe","4256","888","C:\Windows\system32\wbem\wmiprvse.exe","8638464","4256","186","7","20181208125148.724517-480"
"2012DATA-DC1","WmiApSrv.exe","3652","716","C:\Windows\system32\wbem\WmiApSrv.exe","5255168","3652","111","5","20181208125349.157917-480"
"DELLWIN10","System Idle Process","0","0",,"8192","0","0","4","20181207141858.647467-480"
"DELLWIN10","System","4","0",,"16297984","4","4880","145","20181207141858.647467-480"
"DELLWIN10","Registry","96","4",,"4952064","96","0","3","20181207141856.545454-480"
"DELLWIN10","smss.exe","372","4",,"1011712","372","52","2","20181207141858.652781-480"
"DELLWIN10","csrss.exe","476","452",,"4636672","476","546","10","20181207141901.046741-480"
"DELLWIN10","wininit.exe","552","452",,"5574656","552","151","1","20181207141901.335358-480"
"DELLWIN10","csrss.exe","560","544",,"5238784","560","768","14","20181207141901.339391-480"
"DELLWIN10","services.exe","632","552",,"8151040","632","692","8","20181207141901.422636-480"
